EntryID,Z-number,Anglealpha,Anglebeta,Anglegamma,a,b,c,ExperimentalMethod,DepositionDate,ReleaseDate,PDBID,TotalNumberofNon-polymerInstances,MolecularWeightperDepositedModel,NumberofDistinctNon-polymerEntities,RefinementResolution,EntryPolymerTypes,StructureDeterminationMethodology,AverageBFactor,RFree,RWork,RAll,RObserved,HighResolutionLimit,StuctureKeywords,SpaceGroup,NumberofDistinctFreeLigands,TotalNumberofFreeLigands,NumberofDistinctLigands,TotalNumberofLigands
4HAZ,8,90,90,90,105.82,105.82,305.231,X-RAY DIFFRACTION,2012-09-27,2013-01-09,4HAZ,8,159.43,4,1.9,Protein (only),experimental,23.637,0.20884,0.16542,NA,0.16758,1.9,PROTEIN TRANSPORT/ANTIBIOTIC,P 43 21 2,2,6,2,6
4HB0,8,90,90,90,105.536,105.536,305.044,X-RAY DIFFRACTION,2012-09-27,2013-01-09,4HB0,7,159.39,4,2.2,Protein (only),experimental,50.102,0.22539,0.18614,NA,0.18809,2.2,PROTEIN TRANSPORT/ANTIBIOTIC,P 43 21 2,2,5,2,5
4HB2,8,90,90,90,106.328,106.328,306.69,X-RAY DIFFRACTION,2012-09-27,2013-01-09,4HB2,12,159.41,5,1.8,Protein (only),experimental,21.943,0.20078,0.1552,NA,0.15749,1.8,PROTEIN TRANSPORT,P 43 21 2,4,11,4,11
4HB4,8,90,90,90,105.97,105.97,304.934,X-RAY DIFFRACTION,2012-09-27,2013-01-09,4HB4,10,159.67,6,2.05,Protein (only),experimental,27.475,0.21771,0.1876,NA,0.18907,2.05,PROTEIN TRANSPORT/ANTIBIOTIC,P 43 21 2,4,8,4,8
4HB6,8,90,90,90,32.35,32.35,178.53,X-RAY DIFFRACTION,2012-09-27,2012-10-31,4HB6,7,10.28,3,1.9,Protein (only),experimental,17.292,0.23185,0.19104,NA,0.19507,1.9,ELECTRON TRANSPORT,P 43 2 2,2,4,2,4
4HB7,8,90,99.75,90,90.584,77.301,90.546,X-RAY DIFFRACTION,2012-09-27,2012-10-17,4HB7,7,60.12,1,1.95,Protein (only),experimental,33.391,0.2056,0.1623,0.1645,0.1645,1.95,TRANSFERASE,C 1 2 1,1,7,1,7
4HB8,8,90,90,90,32.33,32.33,178.29,X-RAY DIFFRACTION,2012-09-27,2012-10-31,4HB8,7,10.28,3,1.9,Protein (only),experimental,15.1,0.22752,0.18584,NA,0.18962,1.9,ELECTRON TRANSPORT,P 43 2 2,2,4,2,4
4HB9,6,90,90,120,71.008,71.008,157.91,X-RAY DIFFRACTION,2012-09-27,2012-10-17,4HB9,11,47.66,2,1.93,Protein (only),experimental,28.9816,0.2179,0.1752,NA,0.1773,1.93,OXIDOREDUCTASE,P 32 2 1,2,11,2,11
4HBA,2,90,104.17,90,42.284,41.156,71.61,X-RAY DIFFRACTION,2012-09-27,2013-07-31,4HBA,3,29.54,2,1.762,Protein (only),experimental,21.0162,0.1891,0.15,NA,0.152,1.762,LYASE,P 1 21 1,1,2,1,2
4HBC,4,90,114.93,90,132.934,42.184,86.179,X-RAY DIFFRACTION,2012-09-27,2012-10-31,4HBC,1,45.47,1,1.54,Protein (only),experimental,27.7234,0.2592,0.1973,NA,0.2004,1.54,IMMUNE SYSTEM,C 1 2 1,1,1,1,1
4HBF,8,90,90,90,32.2,32.2,178.8,X-RAY DIFFRACTION,2012-09-27,2012-10-31,4HBF,7,10.26,3,1.9,Protein (only),experimental,16.277,0.22949,0.18784,NA,0.192,1.9,ELECTRON TRANSPORT,P 43 2 2,2,4,2,4
4HBM,32,90,121.6,90,185.35,73.95,123.09,X-RAY DIFFRACTION,2012-09-28,2012-10-17,4HBM,8,112.37,1,1.9,Protein (only),experimental,NA,0.24,0.22,NA,NA,1.9,ligase/ligase inhibitor,C 1 2 1,1,8,1,8
4HBV,4,90,90,90,35.69,46.4,76.87,X-RAY DIFFRACTION,2012-09-28,2012-10-31,4HBV,3,15.46,2,1.63,Protein (only),experimental,24.7949,0.2406,0.2047,0.2064,0.2064,1.63,PROTEIN BINDING/INHIBITOR,P 21 21 21,2,3,2,3
4HBW,4,90,90,90,36.65,46.02,77.31,X-RAY DIFFRACTION,2012-09-28,2012-10-31,4HBW,3,15.47,3,1.69,Protein (only),experimental,20.7642,0.2283,0.1744,0.1769,0.1769,1.69,PROTEIN BINDING/INHIBITOR,P 21 21 21,2,2,2,2
4HBX,4,90,90,90,43.48,48.37,61.03,X-RAY DIFFRACTION,2012-09-28,2012-10-31,4HBX,1,15.39,1,1.62,Protein (only),experimental,21.9613,0.2096,0.1775,0.1791,0.1791,1.62,PROTEIN BINDING/INHIBITOR,P 21 21 21,1,1,1,1
4HBY,4,90,90,90,43.7,48.47,61.34,X-RAY DIFFRACTION,2012-09-28,2012-10-31,4HBY,2,15.48,2,1.59,Protein (only),experimental,26.6523,0.2388,0.185,0.1876,0.1876,1.59,SIGNALING PROTEIN/INHIBITOR,P 21 21 21,2,2,2,2
4HBZ,8,90,90,90,76.257,76.257,50.93,X-RAY DIFFRACTION,2012-09-28,2012-10-17,4HBZ,5,19.7,3,1.55,Protein (only),experimental,20.5455,0.1614,0.1411,0.1421,0.1421,1.55,"HYDROLASE, ISOMERASE",P 43 21 2,3,5,3,5
4HC3,8,90,90,90,32.4,32.4,178.4,X-RAY DIFFRACTION,2012-09-28,2012-10-31,4HC3,7,10.29,3,1.95,Protein (only),experimental,17.87,0.23281,0.18513,NA,0.18978,1.95,ELECTRON TRANSPORT,P 43 2 2,2,4,2,4
4HC4,8,90,90,90,93.981,93.981,108.878,X-RAY DIFFRACTION,2012-09-28,2012-10-17,4HC4,3,42.61,3,1.97,Protein (only),experimental,38.407,0.22017,0.18822,NA,0.18918,1.97,TRANSFERASE,I 41,3,3,3,3
4HC6,12,90,90,90,73.272,73.272,73.272,X-RAY DIFFRACTION,2012-09-28,2012-11-28,4HC6,13,14.46,4,1.8,Protein (only),experimental,19.417,0.21204,0.1755,0.17721,0.17721,1.8,TRANSFERASE,P 21 3,3,11,3,11
4HCD,16,90,90,90,118.733,118.733,133.199,X-RAY DIFFRACTION,2012-09-29,2013-10-30,4HCD,9,45.96,3,1.7,Protein (only),experimental,NA,0.1855,0.1534,0.155,0.155,1.7,ISOMERASE,I 4 2 2,1,4,1,4
4HCF,4,90,116.72,90,38.275,73.594,40.366,X-RAY DIFFRACTION,2012-09-29,2012-10-17,4HCF,3,22.4,2,1.703,Protein (only),experimental,24.6,0.21,0.177,0.179,0.179,1.703,OXIDOREDUCTASE,P 1 21 1,1,1,1,1
4HCH,16,90,90,90,118.252,118.252,133.018,X-RAY DIFFRACTION,2012-09-29,2012-10-24,4HCH,20,91.75,6,1.699,Protein (only),experimental,NA,0.171,0.141,0.1425,0.1425,1.699,ISOMERASE,I 4,4,14,4,14
4HCI,8,90,120.4,90,95.2,42.809,51.245,X-RAY DIFFRACTION,2012-09-30,2012-10-17,4HCI,1,22.27,1,1.63,Protein (only),experimental,37.2,0.202,0.178,0.179,0.179,1.63,OXIDOREDUCTASE,C 1 2 1,1,1,1,1
4HCL,16,90,90,90,118.26,118.26,133.342,X-RAY DIFFRACTION,2012-09-30,2012-10-24,4HCL,7,90.95,3,1.8,Protein (only),experimental,NA,0.2173,0.1839,0.1856,0.1856,1.8,ISOMERASE,I 4,2,3,2,3
4HCX,8,90,90,90,90.135,92.704,102.894,X-RAY DIFFRACTION,2012-10-01,2013-02-27,4HCX,6,92.8,3,2.18,Protein (only),experimental,34.751,0.26171,0.20538,NA,NA,2.18,OXIDOREDUCTASE,P 21 21 21,2,4,2,4
4HD5,2,90,95.82,90,36.455,52.76,93.638,X-RAY DIFFRACTION,2012-10-02,2012-10-10,4HD5,2,41,2,1.9,Protein (only),experimental,16.301,0.20252,0.17836,NA,0.17959,1.9,HYDROLASE,P 1 21 1,1,1,1,1
4HDC,4,90,101.44,90,46.53,90.736,48.346,X-RAY DIFFRACTION,2012-10-02,2012-10-24,4HDC,2,47.96,1,2.05,Protein (only),experimental,36.55,0.2508,0.2142,0.2161,NA,2.05,TRANSFERASE/TRANSFERASE INHIBITOR,P 1 21 1,1,2,1,2
4HDK,4,90,90,90,52.778,77.365,152.388,X-RAY DIFFRACTION,2012-10-02,2012-10-24,4HDK,6,73.02,3,1.5,Protein (only),experimental,23.16,0.223,0.189,NA,0.191,1.5,transferase/transferase inhibitor,P 21 21 21,3,6,3,6
4HDL,8,90,90,90,32.3,32.3,179.2,X-RAY DIFFRACTION,2012-10-02,2012-10-31,4HDL,7,10.25,3,1.9,Protein (only),experimental,12.247,0.22515,0.17966,NA,0.1839,1.9,ELECTRON TRANSPORT,P 43 2 2,2,4,2,4
4HDM,4,90,90,90,52.559,77.941,152.18,X-RAY DIFFRACTION,2012-10-02,2012-10-24,4HDM,2,72.71,2,1.95,Protein (only),experimental,42.16,0.256,0.195,NA,0.198,1.95,transferase/substrate,P 21 21 21,2,2,2,2
4HDO,2,90,91.2,90,57.85,77.75,58.85,X-RAY DIFFRACTION,2012-10-02,2013-07-10,4HDO,3,57.03,3,1.67,Protein (only),experimental,19.771,0.23142,0.21153,0.21253,0.21253,1.67,SIGNALING PROTEIN,P 1 21 1,2,2,2,2
4HDQ,2,90,95.56,90,57.31,77.41,58.57,X-RAY DIFFRACTION,2012-10-02,2013-07-10,4HDQ,3,60.2,3,1.95,Protein (only),experimental,32.365,0.26278,0.20044,0.20342,0.20342,1.95,SIGNALING PROTEIN,P 1 21 1,2,2,2,2
4HDT,2,90,109.59,90,48.2,62.4,56.88,X-RAY DIFFRACTION,2012-10-02,2012-10-10,4HDT,7,37.95,3,1.6,Protein (only),experimental,17.9527,0.1892,0.1597,0.1611,0.1611,1.6,ISOMERASE,P 1 21 1,2,2,2,2
4HE2,8,90,90,90,73.366,73.366,146.622,X-RAY DIFFRACTION,2012-10-03,2013-10-09,4HE2,7,37.3,5,1.6,Protein (only),experimental,27.299,0.1937,0.181,NA,0.1816,1.6,HYDROLASE,P 42 21 2,3,3,3,3
4HEF,4,90,90,90,44.88,71.2,106.25,X-RAY DIFFRACTION,2012-10-03,2013-06-05,4HEF,3,39.99,2,1.86,Protein (only),experimental,18.6529,0.2015,0.1744,NA,0.1758,1.86,HYDROLASE/HYDROLASE INHIBITOR,P 21 21 21,1,2,1,2
4HEI,16,90,90,90,46.354,46.354,174.492,X-RAY DIFFRACTION,2012-10-03,2012-10-24,4HEI,17,22.95,3,1.6,Protein (only),experimental,31.6,0.281,0.262,NA,0.262,1.6,TRANSLATION,P 41 21 2,1,6,1,6
4HEJ,4,90,100.69,90,45.348,90.308,50.07,X-RAY DIFFRACTION,2012-10-03,2012-10-24,4HEJ,1,47.37,1,2,Protein (only),experimental,30.16,0.2347,0.1929,NA,0.195,2,TRANSFERASE/TRANSFERASE INHIBITOR,P 1 21 1,1,1,1,1
4HEO,4,90,79.78,90,21.49,43.28,51.26,X-RAY DIFFRACTION,2012-10-04,2013-10-09,4HEO,2,15.4,2,1.65,Protein (only),experimental,NA,0.2235,0.1881,NA,0.1901,1.65,VIRAL PROTEIN,P 1 21 1,1,1,1,1
4HEP,18,90,90,120,74.38,74.38,375.87,X-RAY DIFFRACTION,2012-10-04,2013-03-20,4HEP,1,31.29,1,1.75,Protein (only),experimental,42.02,0.2041,0.1975,0.1977,0.1977,1.75,VIRAL PROTEIN,H 3 2,1,1,1,1
4HES,20,90,90.38,90,117.398,163.106,113.009,X-RAY DIFFRACTION,2012-10-04,2012-10-17,4HES,25,161.31,3,1.9,Protein (only),experimental,23.2372,0.1596,0.1369,0.1381,0.1381,1.9,HYDROLASE,C 1 2 1,2,22,2,22
4HET,12,90,90,120,180.385,180.385,63.752,X-RAY DIFFRACTION,2012-10-04,2012-10-24,4HET,2,79.99,1,2.1,Protein (only),experimental,66.9896,0.2073,0.1782,NA,0.1797,2.1,HYDROLASE,P 61,1,2,1,2
4HEU,96,90,90,90,252.859,252.859,252.859,X-RAY DIFFRACTION,2012-10-04,2012-12-12,4HEU,18,75.96,3,2,Protein (only),experimental,35.47,0.19853,0.18616,0.18679,0.18679,2,hydrolase/hydrolase inhibitor,F 2 3,2,14,2,14
4HEW,2,90,104.44,90,42.286,41.185,71.938,X-RAY DIFFRACTION,2012-10-04,2013-10-23,4HEW,3,29.45,2,1.6984,Protein (only),experimental,NA,0.2056,0.1654,NA,0.1674,1.6984,LYASE,P 1 21 1,1,2,1,2
4HF0,12,90,90,120,88.85,88.85,62.734,X-RAY DIFFRACTION,2012-10-04,2013-05-08,4HF0,1,29.96,1,1.9,Protein (only),experimental,31.094,0.2205,0.1933,NA,0.1957,1.9,TRANSCRIPTION,P 31 2 1,1,1,1,1
4HF4,96,90,90,90,252.879,252.879,252.879,X-RAY DIFFRACTION,2012-10-04,2012-12-12,4HF4,22,76.4,4,2,Protein (only),experimental,37.435,0.19692,0.17586,0.17691,0.17691,2,HYDROLASE/HYDROLASE INHIBITOR,F 2 3,3,18,3,18
4HFG,8,90,90,90,48.083,48.492,112.347,X-RAY DIFFRACTION,2012-10-05,2012-10-17,4HFG,16,31.7,2,2,Protein (only),experimental,37.0332,0.2576,0.1847,NA,0.1888,2,PROTEIN BINDING,P 21 21 21,1,6,1,6
4HFK,8,90,127.89,90,91.342,138.144,64.462,X-RAY DIFFRACTION,2012-10-05,2013-01-16,4HFK,1,61.83,1,2.1,Protein (only),experimental,NA,0.2035,0.1568,0.1591,0.1568,2.1,HYDROLASE,C 1 2 1,1,1,1,1
4HFM,8,90,115.53,90,88.2,149.84,66.61,X-RAY DIFFRACTION,2012-10-05,2013-01-30,4HFM,2,79.89,1,1.9,Protein (only),experimental,27.215,0.20553,0.17291,NA,0.17456,1.9,OXIDOREDUCTASE,C 1 2 1,1,2,1,2
4HFN,8,90,115.96,90,88.86,149.86,67.21,X-RAY DIFFRACTION,2012-10-05,2013-01-30,4HFN,3,80.07,2,2.1,Protein (only),experimental,29.232,0.22074,0.17193,NA,0.17434,2.1,OXIDOREDUCTASE,C 1 2 1,2,3,2,3
4HFS,4,90,97.62,90,43,42.71,119.71,X-RAY DIFFRACTION,2012-10-05,2012-12-05,4HFS,4,46.59,1,1.55,Protein (only),experimental,25.9069,0.2164,0.1916,NA,0.1929,1.55,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",P 1 2 1,1,4,1,4
4HFV,6,90,90,120,43.339,43.339,205.621,X-RAY DIFFRACTION,2012-10-05,2012-11-07,4HFV,2,22.52,2,1.901,Protein (only),experimental,NA,0.2336,0.1829,0.1854,0.1854,1.901,"Structural Genomics, Unknown Function",P 32 2 1,2,2,2,2
4HG2,4,90,91.99,90,48.067,88.447,64.664,X-RAY DIFFRACTION,2012-10-05,2012-10-17,4HG2,7,57.86,2,1.6,Protein (only),experimental,20.3055,0.1786,0.1521,0.1535,0.1535,1.6,TRANSFERASE,P 1 21 1,2,7,2,7
4HG3,8,90,95.3,90,65.211,125.653,77.964,X-RAY DIFFRACTION,2012-10-06,2013-07-31,4HG3,27,156.19,3,1.93,Protein (only),experimental,13.966,0.22675,0.19682,NA,0.19833,1.93,HYDROLASE,P 1 21 1,1,16,1,16
4HG5,8,90,95.41,90,65.498,125.84,77.879,X-RAY DIFFRACTION,2012-10-07,2013-07-31,4HG5,15,154.8,3,1.91,Protein (only),experimental,27.347,0.22882,0.19996,0.2262,0.20141,1.91,HYDROLASE,P 1 21 1,1,9,1,9
4HG7,12,90,90,120,71.45,71.45,104.204,X-RAY DIFFRACTION,2012-10-07,2013-07-31,4HG7,2,11.76,2,1.6,Protein (only),experimental,21.609,0.21466,0.17348,NA,0.17558000000000001,1.6,LIGASE,P 65 2 2,2,2,2,2
4HG9,16,90,111.48,90,98.953,53.959,108.433,X-RAY DIFFRACTION,2012-10-07,2012-10-17,4HG9,11,56.92,4,1.6,Protein (only),experimental,30.035,0.19272,0.17085,NA,0.17258,1.6,HYDROLASE,C 1 2 1,3,7,3,7
4HGD,8,90,95.61,90,65.632,126.915,77.624,X-RAY DIFFRACTION,2012-10-08,2013-07-31,4HGD,21,156.08,3,2.04,Protein (only),experimental,30.395,0.22832,0.18945,0.2049,0.1914,2.04,HYDROLASE,P 1 21 1,2,17,2,17
4HGF,4,90,98.16,90,59.138,148.125,64.066,X-RAY DIFFRACTION,2012-10-08,2013-05-01,4HGF,5,105.72,3,1.7,Protein (only),experimental,21.141,0.22782,0.18938,NA,0.18964,1.7,OXIDOREDUCTASE,P 1 21 1,2,3,2,3
4HGG,4,90,98.37,90,58.9,147.98,64.01,X-RAY DIFFRACTION,2012-10-08,2013-05-01,4HGG,11,106.49,4,1.7,Protein (only),experimental,23.257,0.21101,0.17881,NA,0.18041,1.7,OXIDOREDUCTASE,P 1 21 1,3,9,3,9
4HGI,4,90,98.37,90,58.99,148.89,64.82,X-RAY DIFFRACTION,2012-10-08,2013-05-01,4HGI,11,106.33,5,1.5,Protein (only),experimental,20.331,0.19927,0.17782,NA,0.17794,1.5,OXIDOREDUCTASE,P 1 21 1,4,9,4,9
4HGJ,4,90,98.2,90,59.01,148.37,64.15,X-RAY DIFFRACTION,2012-10-08,2013-05-01,4HGJ,8,106.02,3,1.9,Protein (only),experimental,28.418,0.21658,0.18185,NA,0.18358,1.9,OXIDOREDUCTASE,P 1 21 1,2,6,2,6
4HGN,16,90,90,90,37.522,91.198,170.067,X-RAY DIFFRACTION,2012-10-08,2013-08-21,4HGN,6,77.48,2,1.8,Protein (only),experimental,23.58,0.2183,0.1756,0.1777,NA,1.8,HYDROLASE,P 21 21 21,1,2,1,2
4HGO,16,90,90,90,81.296,106.324,74.147,X-RAY DIFFRACTION,2012-10-08,2013-08-21,4HGO,10,74.48,3,2.1,Protein (only),experimental,22.67,0.2462,0.1914,NA,0.1942,2.1,"Transferase, Hydrolase",P 21 21 2,1,2,1,2
4HGP,8,90,90,90,79.846,79.846,52.151,X-RAY DIFFRACTION,2012-10-08,2013-08-21,4HGP,3,19.82,3,1.8,Protein (only),experimental,17.75,0.1732,0.1467,NA,0.1502,1.8,HYDROLASE,I 4,1,1,1,1
4HGT,4,90,103.63,90,49.17,72.97,89.33,X-RAY DIFFRACTION,2012-10-08,2012-11-21,4HGT,2,69.47,1,1.8,Protein (only),experimental,NA,NA,0.24,NA,NA,1.8,transferase/transferase inhibitor,P 1 21 1,1,2,1,2
4HGV,16,90,90,90,72.163,159.965,162.041,X-RAY DIFFRACTION,2012-10-08,2012-10-31,4HGV,3,214.5,1,2.09,Protein (only),experimental,25.961,0.23429,0.19681,NA,0.19867,2.09,LYASE,P 21 21 21,1,3,1,3
4HH5,4,90,90,90,40.86,58.71,65.67,X-RAY DIFFRACTION,2012-10-09,2013-11-20,4HH5,1,18.46,1,2,Protein (only),experimental,29.58,0.2054,0.1853,0.1863,0.1863,2,PROTEIN BINDING,P 21 21 21,1,1,1,1
4HHA,2,90,96.58,90,43.25,65.51,67.11,X-RAY DIFFRACTION,2012-10-09,2013-10-23,4HHA,5,50.3,1,1.6,Protein (only),experimental,NA,0.226,0.213,0.213,0.213,1.6,IMMUNE SYSTEM,P 1 21 1,1,5,1,5
4HHF,6,90,90,120,48.727,48.727,63.245,X-RAY DIFFRACTION,2012-10-09,2013-04-24,4HHF,3,7.58,1,1.8,Protein (only),experimental,15.213,0.20192,0.18511,NA,0.18593,1.8,TOXIN,P 31 2 1,1,3,1,3
4HHH,16,90,90,90,109.79,109.95,201.44,X-RAY DIFFRACTION,2012-10-09,2012-10-31,4HHH,4,271.37,1,2.2,Protein (only),experimental,10.6478,0.2794,0.1972,0.2014,0.2014,2.2,LYASE,P 21 2 21,1,4,1,4
4HHJ,8,90,90,90,161.32,177.61,57.82,X-RAY DIFFRACTION,2012-10-10,2013-02-27,4HHJ,6,74.36,3,1.79,Protein (only),experimental,38.54,0.2092,0.1767,0.1783,0.1783,1.79,TRANSFERASE,C 2 2 21,2,4,2,4
4HHL,8,90,119.65,90,110.8,91.68,84.61,X-RAY DIFFRACTION,2012-10-10,2013-03-27,4HHL,18,86.99,3,1.73,Protein (only),experimental,26.68,0.18786,0.13094,NA,0.13378,1.73,ISOMERASE,C 1 2 1,1,13,1,13
4HHO,8,90,90,90,93.782,93.782,145.158,X-RAY DIFFRACTION,2012-10-10,2013-03-27,4HHO,5,40.4,3,2.1,Protein (only),experimental,33.802,0.21243,0.18303,0.18449,0.18449,2.1,HYDROLASE,P 43 21 2,2,3,2,3
4HHP,2,95.02,96.08,114.69,38.716,44.461,69.043,X-RAY DIFFRACTION,2012-10-10,2013-10-16,4HHP,3,54.97,2,1.5,Protein (only),experimental,NA,0.1963,0.1655,0.1655,0.1671,1.5,ISOMERASE,P 1,2,3,2,3
4HHR,8,90,90,90,101.935,101.935,137.51,X-RAY DIFFRACTION,2012-10-10,2013-02-20,4HHR,18,76.97,7,1.51,Protein (only),experimental,22.636,0.18227,0.15255,NA,0.15403,1.51,OXIDOREDUCTASE,P 43 2 2,5,9,5,9
4HHS,8,90,90,90,102.15,102.15,137.565,X-RAY DIFFRACTION,2012-10-10,2013-02-20,4HHS,13,76.59,7,1.7,Protein (only),experimental,20.99,0.18733,0.15913,NA,0.16054,1.7,OXIDOREDUCTASE,P 43 2 2,5,7,5,7
4HHU,8,90,90,90,58.426,63.623,81.168,X-RAY DIFFRACTION,2012-10-10,2012-10-24,4HHU,3,39.64,2,2,Protein (only),experimental,30.69,0.215,0.193,NA,0.194,2,"Structural Genomics, Unknown Function",P 21 21 21,2,3,2,3
4HHV,8,90,90,90,48.131,54.979,98.988,X-RAY DIFFRACTION,2012-10-10,2013-11-27,4HHV,9,25.21,4,1.75,Protein (only),experimental,30.6165,0.2036,0.1786,NA,0.1799,1.75,LIPID TRANSPORT,P 21 21 21,4,9,4,9
4HHX,8,90,90,90,34.79,73.61,95.9,X-RAY DIFFRACTION,2012-10-10,2013-04-03,4HHX,1,13.68,1,1.88,Protein (only),experimental,38.531,0.24739,0.21828,NA,0.21972,1.88,MEMBRANE PROTEIN,C 2 2 21,1,1,1,1
4HI1,6,90,90.52,90,39.71,81.3,40.53,X-RAY DIFFRACTION,2012-10-11,2013-09-25,4HI1,6,31.65,2,1.964,Protein (only),experimental,NA,0.2487,0.1874,NA,0.1907,1.964,HYDROLASE,P 1 21 1,1,3,1,3
4HI6,36,90,90,120,158.066,158.066,103.714,X-RAY DIFFRACTION,2012-10-11,2013-10-30,4HI6,7,66.21,2,2.2,Protein (only),experimental,41.45,NA,0.219,NA,0.223,2.2,VIRAL PROTEIN,H 3,2,7,2,7
4HIA,8,90,90,90,54.356,73.183,95.288,X-RAY DIFFRACTION,2012-10-11,2013-01-16,4HIA,6,40.19,2,1.952,Protein (only),experimental,22.6386,0.2012,0.173,NA,0.175,1.952,SIGNALING PROTEIN,P 21 21 21,2,6,2,6
4HIB,4,90,112.08,90,69.78,61.64,71.37,X-RAY DIFFRACTION,2012-10-11,2012-11-14,4HIB,5,68.95,3,1.8,Protein (only),experimental,29.1315,0.223,0.19,NA,0.1952,1.8,LYASE/LYASE INHIBITOR,P 1 21 1,3,5,3,5
4HIH,4,90,101.28,90,73.79,66.68,109.28,X-RAY DIFFRACTION,2012-10-11,2013-08-28,4HIH,2,98.42,1,2,Protein (only),experimental,NA,0.236,0.224,0.224,0.224,2,IMMUNE SYSTEM,P 1 21 1,1,2,1,2
4HJ2,8,90,93.91,90,99,93.53,51.18,X-RAY DIFFRACTION,2012-10-12,2013-03-27,4HJ2,2,51.22,1,2.1,Protein (only),experimental,29.39,0.258,0.2147,NA,NA,2.1,TRANSFERASE,C 1 2 1,1,2,1,2
4HJ6,12,90,90,120,108.134,108.134,84.632,X-RAY DIFFRACTION,2012-10-12,2013-01-16,4HJ6,2,40.25,1,2.2,Protein (only),experimental,63.3684,0.2256,0.2065,NA,0.2079,2.2,SIGNALING PROTEIN,P 65,1,2,1,2
4HJF,4,90,90,90,62.202,63.186,66.19,X-RAY DIFFRACTION,2012-10-12,2012-10-31,4HJF,3,37.55,2,1.75,Protein (only),experimental,24.804,0.21394,0.16783,NA,0.17007,1.75,SIGNALING PROTEIN,P 21 21 21,1,1,1,1
4HJH,4,90,92.18,90,61.95,55.98,131.67,X-RAY DIFFRACTION,2012-10-12,2012-11-21,4HJH,87,112.67,4,2.1,Protein (only),experimental,20.401,0.2086,0.1736,0.1754,0.1754,2.1,ISOMERASE,P 1 21 1,3,85,3,85
4HJI,2,83.72,89.95,74.58,29.99,46.87,51.27,X-RAY DIFFRACTION,2012-10-12,2012-12-19,4HJI,2,36.58,2,1.6,Protein (only),experimental,22.257,0.25057,0.22214,NA,0.22356,1.6,CELL ADHESION,P 1,1,1,1,1
4HJJ,4,90,95.2,90,274.385,65.498,78.802,X-RAY DIFFRACTION,2012-10-12,2013-05-08,4HJJ,4,91.91,3,2.1,Protein (only),experimental,53.9983,0.2195,0.1838,NA,0.1856,2.1,IMMUNE SYSTEM,C 1 2 1,3,4,3,4
4HJK,8,90,90,90,43.197,43.197,79.154,X-RAY DIFFRACTION,2012-10-12,2012-11-21,4HJK,1,8.81,1,1.784,Protein (only),experimental,15.1537,0.2175,0.1835,NA,0.1851,1.784,SIGNALING PROTEIN/Inhibitor,P 41 21 2,1,1,1,1
4HJL,18,90,90,120,139.957,139.957,208.417,X-RAY DIFFRACTION,2012-10-12,2013-10-16,4HJL,15,73.27,5,1.5,Protein (only),experimental,18.2655,0.1773,0.146,NA,0.1476,1.5,Oxidoreductase/Oxidoreductase inhibitor,H 3 2,3,13,3,13
4HJM,6,90,90,120,48.092,48.092,82.594,X-RAY DIFFRACTION,2012-10-13,2013-12-25,4HJM,2,12.76,2,1.5462,Protein (only),experimental,17.5799,0.1787,0.148,NA,0.1495,1.5462,OXIDOREDUCTASE,P 32 2 1,2,2,2,2
4HJQ,2,102.39,94.71,110.01,45.642,57.783,77.319,X-RAY DIFFRACTION,2012-10-13,2013-04-03,4HJQ,2,70.93,1,1.8013,Protein (only),experimental,NA,0.2022,0.1654,NA,0.1673,1.8013,HYDROLASE,P 1,1,2,1,2
4HK7,8,90,97.14,90,77.333,144.921,77.31,X-RAY DIFFRACTION,2012-10-15,2013-09-11,4HK7,10,169.11,2,2.189,Protein (only),experimental,36.6489,0.21,0.1528,NA,0.1557,2.189,LYASE,P 1 21 1,1,4,1,4
4HKC,8,90,90,90,89.03,111.6,72.99,X-RAY DIFFRACTION,2012-10-15,2013-06-26,4HKC,1,32.08,1,2.2,Protein (only),experimental,60.17,0.239,0.197,0.1991,0.1991,2.2,SIGNALING PROTEIN/PEPTIDE,C 2 2 21,1,1,1,1
4HKE,8,90,90,90,43.163,70.195,79.65,X-RAY DIFFRACTION,2012-10-15,2013-11-13,4HKE,2,27.21,1,1.87,Protein (only),experimental,20.066,0.22456,0.1818,0.26,0.18518,1.87,TOXIN,P 21 21 21,1,2,1,2
4HKF,8,90,90,90,57.627,65.874,104.674,X-RAY DIFFRACTION,2012-10-15,2012-12-12,4HKF,4,22.69,2,1.7,Protein (only),experimental,18.5542,0.1925,0.145,NA,0.1473,1.7,TRANSFERASE,C 2 2 21,2,4,2,4
4HKH,24,90,103.42,90,84.21,145.89,89.85,X-RAY DIFFRACTION,2012-10-15,2013-12-11,4HKH,11,119.29,1,1.69,Protein (only),experimental,27.66,0.1959,0.1802,NA,0.181,1.69,PROTEIN BINDING,C 1 2 1,1,11,1,11
4HKI,16,90,90,90,91.4,97.95,118.76,X-RAY DIFFRACTION,2012-10-15,2012-10-31,4HKI,12,55.99,5,2.15,Protein (only),experimental,19.202,0.22909,0.19073,0.19269,0.19269,2.15,TRANSFERASE,C 2 2 21,4,10,4,10
